ID,lat,lon
1,44.08230252,7.69827278
2,44.08299692,7.76070843
3,44.0842834,7.88558618
4,44.08487546,7.94802805
5,44.0854334,8.01047179
6,44.12148281,7.25997421
7,44.12241736,7.32243879
8,44.12331777,7.38490633
9,44.12418403,7.44737672
10,44.12501615,7.50984986
11,44.12581412,7.57232563
12,44.12730759,7.69728464
13,44.12800308,7.75976765
14,44.12866441,7.82225286
15,44.12929157,7.88474015
16,44.12988455,7.94722941
17,44.13044337,8.00972053
18,44.130968,8.0722134
19,44.16550821,7.19614273
20,44.16647841,7.25865164
21,44.16741442,7.32116364
22,44.16831623,7.38367861
23,44.16918385,7.44619644
24,44.17001727,7.50871703
25,44.17081649,7.57124026
26,44.17158149,7.63376601
27,44.17231229,7.69629419
28,44.17300887,7.75882468
29,44.17367123,7.82135737
30,44.17429937,7.88389214
31,44.17489328,7.9464289
32,44.17545296,8.00896752
33,44.17597842,8.0715079
34,44.20738137,7.0071199
35,44.20845578,7.06966639
36,44.20949596,7.13221631
37,44.21050191,7.19476955
38,44.21147362,7.25732599
39,44.21241109,7.31988552
40,44.21331431,7.38244803
41,44.21418329,7.44501341
42,44.21501801,7.50758156
43,44.21581847,7.57015235
44,44.21658468,7.63272568
45,44.21731661,7.69530144
46,44.21801428,7.75787951
47,44.21867768,7.82045979
48,44.2193068,7.88304216
49,44.21990164,7.94562652
50,44.2204622,8.00821275
51,44.22098847,8.07080074
52,44.25236981,7.00560066
53,44.25344589,7.06819477
54,44.2544877,7.13079231
55,44.25549521,7.19339317
56,44.25646844,7.25599724
57,44.25740738,7.31860442
58,44.25831201,7.38121458
59,44.25918235,7.44382763
60,44.26001837,7.50644344
61,44.26082009,7.56906191
62,44.26158748,7.63168292
63,44.26232056,7.69430637
64,44.26301932,7.75693214
65,44.26368375,7.81956012
66,44.26431386,7.8821902
67,44.26490963,7.94482227
68,44.26547106,8.00745622
69,44.26599816,8.07009194
70,44.29624575,6.94143961
71,44.29735785,7.00407788
72,44.29843561,7.06671971
73,44.29947904,7.12936497
74,44.30048813,7.19201357
75,44.30146288,7.25466539
76,44.30240328,7.31732032
77,44.30330933,7.37997825
78,44.30418102,7.44263907
79,44.30501835,7.50530266
80,44.30582132,7.56796892
81,44.30658992,7.63063772
82,44.30732414,7.69330897
83,44.30802399,7.75598255
84,44.30868946,7.81865835
85,44.30932055,7.88133625
86,44.30991725,7.94401614
87,44.31047956,8.00669792
88,44.31100748,8.06938148
89,44.31150101,8.13206669
90,44.34008345,6.87718305
91,44.34123166,6.93986546
92,44.34234548,7.00255155
93,44.34342493,7.0652412
94,44.34446999,7.12793431
95,44.34548066,7.19063076
96,44.34645693,7.25333044
97,44.3473988,7.31603323
98,44.34830626,7.37873904
99,44.34917932,7.44144774
100,44.35001796,7.50415922
101,44.35082218,7.56687337
102,44.35159197,7.62959009
103,44.35232735,7.69230925
104,44.35302829,7.75503075
105,44.3536948,7.81775447
106,44.35432687,7.8804803
107,44.3549245,7.94320814
108,44.35548769,8.00593786
109,44.35601644,8.06866936
110,44.35651074,8.13140252
111,44.38506716,6.8755573
112,44.38621716,6.93828763
113,44.38733273,7.00102165
114,44.38841386,7.06375925
115,44.38946055,7.1265003
116,44.3904728,7.18924471
117,44.39145059,7.25199236
118,44.39239393,7.31474314
119,44.39330281,7.37749693
120,44.39417723,7.44025362
121,44.39501718,7.50301311
122,44.39582266,7.56577527
123,44.39659366,7.62854
124,44.39733018,7.69130719
125,44.39803221,7.75407672
126,44.39869976,7.81684848
127,44.39933282,7.87962235
128,44.39993139,7.94239824
129,44.40049546,8.00517601
130,44.40102503,8.06795557
131,44.40152011,8.1307368
132,44.40198067,8.19351958
133,44.43005047,6.87392775
134,44.43120226,6.93670611
135,44.43231957,6.99948818
136,44.43340239,7.06227382
137,44.43445072,7.12506295
138,44.43546454,7.18785543
139,44.43644387,7.25065116
140,44.43738868,7.31345002
141,44.43829898,7.37625191
142,44.43917476,7.43905671
143,44.44001602,7.50186432
144,44.44082276,7.5646746
145,44.44159496,7.62748746
146,44.44233263,7.69030279
147,44.44303577,7.75312046
148,44.44370436,7.81594037
149,44.44433841,7.8787624
150,44.44493791,7.94158645
151,44.44550286,8.00441239
152,44.44603326,8.06724012
153,44.44652911,8.13006952
154,44.44699039,8.19290049
155,44.44816689,8.38140162
156,44.47503337,6.87229439
157,44.47618696,6.9351209
158,44.47730602,6.99795112
159,44.47839053,7.06078493
160,44.47944049,7.12362223
161,44.4804559,7.18646289
162,44.48143675,7.24930682
163,44.48238304,7.31215389
164,44.48329476,7.37500399
165,44.48417191,7.43785701
166,44.48501449,7.50071284
167,44.48582248,7.56357136
168,44.48659589,7.62643246
169,44.48733471,7.68929604
170,44.48803895,7.75216196
171,44.48870858,7.81503014
172,44.48934362,7.87790044
173,44.48994406,7.94077276
174,44.49050989,8.00364698
175,44.49104112,8.06652299
176,44.49153774,8.12940069
177,44.49199975,8.19227994
178,44.49242714,8.25516065
179,44.49281992,8.3180427
180,44.49317808,8.38092598
181,44.49350162,8.44381037
182,44.49379054,8.50669576
183,44.49404484,8.56958204
184,44.49459999,8.75824506
185,44.49471579,8.82113376
186,44.52001587,6.87065721
187,44.52117126,6.93353198
188,44.52229206,6.99641046
189,44.52337827,7.05929256
190,44.52442987,7.12217814
191,44.52544687,7.1850671
192,44.52642925,7.24795933
193,44.52737702,7.31085472
194,44.52829016,7.37375314
195,44.52916868,7.4366545
196,44.53001257,7.49955866
197,44.53082183,7.56246553
198,44.53159645,7.62537499
199,44.53233642,7.68828693
200,44.53304175,7.75120123
201,44.53371244,7.81411777
202,44.53434847,7.87703645
203,44.53494984,7.93995716
204,44.53551656,8.00287978
205,44.53604862,8.06580419
206,44.53654601,8.12873028
207,44.53700874,8.19165795
208,44.53743681,8.25458707
209,44.5378302,8.31751753
210,44.53818892,8.38044923
211,44.53851296,8.44338204
212,44.53880234,8.50631585
213,44.53905703,8.56925056
214,44.53927705,8.63218604
215,44.53961305,8.75805887
216,44.53972903,8.820996
217,44.53981032,8.88393345
218,44.53985694,8.94687111
219,44.56499797,6.8690162
220,44.56615516,6.93193934
221,44.56727771,6.9948662
222,44.56836561,7.05779669
223,44.56941886,7.12073067
224,44.57043744,7.18366805
225,44.57142136,7.2466087
226,44.5723706,7.30955251
227,44.57328518,7.37249937
228,44.57416507,7.43544917
229,44.57501028,7.49840179
230,44.5758208,7.56135712
231,44.57659662,7.62431505
232,44.57733776,7.68727546
233,44.57804419,7.75023824
234,44.57871592,7.81320327
235,44.57935294,7.87617045
236,44.57995526,7.93913966
237,44.58052286,8.00211078
238,44.58105575,8.0650837
239,44.58155392,8.12805831
240,44.58201737,8.19103449
241,44.5824461,8.25401214
242,44.58284011,8.31699113
243,44.58319939,8.37997136
244,44.58352394,8.4429527
245,44.58381377,8.50593506
246,44.58406886,8.5689183
247,44.58428922,8.63190232
248,44.58447485,8.69488701
249,44.58462575,8.75787225
250,44.58474191,8.82085792
251,44.58482333,8.88384392
252,44.58487002,8.94683013
253,44.58485919,9.07280272
254,44.58480168,9.13578888
255,44.58470943,9.19877479
256,44.61113866,6.93034297
257,44.61226297,6.99331833
258,44.61335256,7.05629732
259,44.61440745,7.11927981
260,44.61542763,7.18226571
261,44.61641308,7.24525489
262,44.61736381,7.30824725
263,44.61827981,7.37124266
264,44.61916107,7.43424102
265,44.6200076,7.49724221
266,44.62081939,7.56024611
267,44.62159643,7.62325262
268,44.62233871,7.68626162
269,44.62304625,7.74927299
270,44.62371903,7.81228663
271,44.62435705,7.87530242
272,44.62496031,7.93832024
273,44.6255288,8.00133998
274,44.62606252,8.06436152
275,44.62656147,8.12738476
276,44.62702564,8.19040958
277,44.62745504,8.25343586
278,44.62784966,8.3164635
279,44.62820951,8.37949237
280,44.62853457,8.44252236
281,44.62882484,8.50555337
282,44.62908033,8.56858526
283,44.62930104,8.63161794
284,44.62948696,8.69465129
285,44.62963809,8.75768518
286,44.62975443,8.82071952
287,44.62983598,8.88375418
288,44.62989472,9.00982402
289,44.6298719,9.07285897
290,44.62981429,9.13589379
291,44.6297219,9.19892836
292,44.65612176,6.92874286
293,44.65724782,6.99176683
294,44.65833912,7.05479443
295,44.65939565,7.11782556
296,44.66041742,7.18086009
297,44.66140441,7.24389792
298,44.66235662,7.30693893
299,44.66327405,7.36998301
300,44.6641567,7.43303004
301,44.66500455,7.49607991
302,44.6658176,7.5591325
303,44.66659585,7.6221877
304,44.6673393,7.6852454
305,44.66804794,7.74830549
306,44.66872177,7.81136784
307,44.66936079,7.87443235
308,44.66996498,7.9374989
309,44.67053436,8.00056737
310,44.67106892,8.06363765
311,44.67156865,8.12670964
312,44.67203355,8.1897832
313,44.67246362,8.25285824
314,44.67285886,8.31593463
315,44.67321926,8.37901226
316,44.67354483,8.44209101
317,44.67383556,8.50517078
318,44.67409145,8.56825145
319,44.6743125,8.6313329
320,44.67449871,8.69441501
321,44.67465007,8.75749768
322,44.6747666,8.82058079
323,44.67484828,8.88366423
324,44.67489511,8.94674788
325,44.6749071,9.00983162
326,44.67488425,9.07291535
327,44.67482656,9.13599894
328,44.67473401,9.19908229
329,44.70223227,6.99021169
330,44.70332528,7.05328803
331,44.70438346,7.11636789
332,44.70540682,7.17945118
333,44.70639536,7.24253777
334,44.70734906,7.30562755
335,44.70826792,7.3687204
336,44.70915194,7.43181622
337,44.71000111,7.49491488
338,44.71081543,7.55801627
339,44.7115949,7.62112029
340,44.71233951,7.68422681
341,44.71304926,7.74733571
342,44.71372414,7.8104469
343,44.71436415,7.87356024
344,44.7149693,7.93667563
345,44.71553956,7.99979295
346,44.71607495,8.06291209
347,44.71657546,8.12603293
348,44.71704109,8.18915536
349,44.71747183,8.25227926
350,44.71786769,8.31540452
351,44.71822865,8.37853102
352,44.71855473,8.44165865
353,44.71884591,8.5047873
354,44.7191022,8.56791685
355,44.7193236,8.63104718
356,44.7195101,8.69417818
357,44.7196617,8.75730974
358,44.71977841,8.82044174
359,44.71986021,8.88357407
360,44.71990712,8.94670661
361,44.71991913,9.00983924
362,44.71989625,9.07297186
363,44.71983846,9.13610434
364,44.71974577,9.19923658
365,44.74831104,7.05177809
366,44.74937088,7.11490681
367,44.75039583,7.17803896
368,44.75138591,7.24117442
369,44.7523411,7.30431309
370,44.7532614,7.36745483
371,44.7541468,7.43059955
372,44.75499729,7.49374712
373,44.75581289,7.55689743
374,44.75659357,7.62005037
375,44.75733935,7.68320582
376,44.7580502,7.74636367
377,44.75872614,7.80952379
378,44.75936715,7.87268609
379,44.75997324,7.93585043
380,44.7605444,7.99901671
381,44.76108062,8.06218482
382,44.76158191,8.12535463
383,44.76204827,8.18852604
384,44.76247968,8.25169892
385,44.76287616,8.31487316
386,44.76323769,8.37804865
387,44.76356427,8.44122528
388,44.76385591,8.50440292
389,44.7641126,8.56758146
390,44.76433434,8.6307608
391,44.76452113,8.6939408
392,44.76467297,8.75712136
393,44.76478986,8.82030236
394,44.7648718,8.88348369
395,44.76491878,8.94666524
396,44.76493081,9.00984688
397,44.76490788,9.0730285
398,44.76485001,9.13620999
399,44.76475718,9.19939123
400,44.79219999,6.98709047
401,44.79329641,7.05026461
402,44.7943579,7.1134423
403,44.79538446,7.17662343
404,44.79637608,7.23980788
405,44.79733276,7.30299554
406,44.79825449,7.36618629
407,44.79914127,7.42938003
408,44.7999931,7.49257662
409,44.80080997,7.55577596
410,44.80159187,7.61897794
411,44.80233881,7.68218244
412,44.80305077,7.74538933
413,44.80372777,7.80859852
414,44.80436978,7.87180988
415,44.80497681,7.9350233
416,44.80554886,7.99823866
417,44.80608593,8.06145584
418,44.806588,8.12467474
419,44.80705508,8.18789524
420,44.80748717,8.25111722
421,44.80788426,8.31434056
422,44.80824636,8.37756515
423,44.80857345,8.44079089
424,44.80886555,8.50401764
425,44.80912264,8.56724529
426,44.80934473,8.63047374
427,44.80953181,8.69370286
428,44.80968389,8.75693254
429,44.80980096,8.82016266
430,44.80988302,8.88339311
431,44.80993008,8.94662377
432,44.80994213,9.00985453
433,44.80991917,9.07308528
434,44.8098612,9.13631589
435,44.80976822,9.19954625
436,44.83488206,6.85908908
437,44.83605014,6.92230483
438,44.83718325,6.98552436
439,44.83828138,7.04874757
440,44.83934452,7.11197435
441,44.84037268,7.17520457
442,44.84136585,7.23843813
443,44.84232403,7.3016749
444,44.8432472,7.36491478
445,44.84413537,7.42815764
446,44.84498852,7.49140337
447,44.84580667,7.55465186
448,44.84658979,7.61790299
449,44.8473379,7.68115665
450,44.84805097,7.74441272
451,44.84872902,7.80767108
452,44.84937204,7.87093162
453,44.84998002,7.93419422
454,44.85055296,7.99745877
455,44.85109086,8.06072516
456,44.85159372,8.12399326
457,44.85206153,8.18726296
458,44.8524943,8.25053415
459,44.85289201,8.31380671
460,44.85325467,8.37708052
461,44.85358228,8.44035547
462,44.85387483,8.50363145
463,44.85413232,8.56690833
464,44.85435476,8.63018601
465,44.85454213,8.69346436
466,44.85469445,8.75674327
467,44.8548117,8.82002263
468,44.85489389,8.88330231
469,44.85494102,8.94658221
470,44.85495309,9.00986221
471,44.85493009,9.07314219
472,44.87865641,6.79415996
473,44.87986133,6.85742095
474,44.88103123,6.92068586
475,44.88216611,6.98395458
476,44.88326595,7.04722698
477,44.88433076,7.11050295
478,44.88536052,7.17378239
479,44.88635524,7.23706516
480,44.88731491,7.30035116
481,44.88823953,7.36364027
482,44.88912908,7.42693238
483,44.88998357,7.49022737
484,44.89080299,7.55352512
485,44.89158734,7.61682552
486,44.89233661,7.68012845
487,44.8930508,7.7434338
488,44.89372991,7.80674145
489,44.89437393,7.87005129
490,44.89498286,7.93336319
491,44.8955567,7.99667705
492,44.89609544,8.05999275
493,44.89659908,8.12331017
494,44.89706762,8.18662919
495,44.89750106,8.24994971
496,44.8978994,8.3132716
497,44.89826262,8.37659475
498,44.89859074,8.43991904
499,44.89888375,8.50324435
500,44.89914164,8.56657058
501,44.89936443,8.6298976
502,44.89955209,8.6932253
503,44.89970465,8.75655356
504,44.89982208,8.81988226
505,44.8999044,8.8832113
506,44.89995161,8.94654055
507,44.89996369,9.0098699
508,44.89994066,9.07319923
509,44.92239153,6.72913242
510,44.9236334,6.79243864
511,44.9248402,6.8557489
512,44.92601192,6.91906309
513,44.92714857,6.9823811
514,44.92825013,7.04570281
515,44.9293166,7.1090281
516,44.93034797,7.17235686
517,44.93134424,7.23568897
518,44.93230541,7.29902431
519,44.93323147,7.36236278
520,44.93412241,7.42570424
521,44.93497823,7.4890486
522,44.93579893,7.55239573
523,44.9365845,7.61574551
524,44.93733495,7.67909784
525,44.93805025,7.74245259
526,44.93873042,7.80580964
527,44.93937545,7.86916889
528,44.93998533,7.93253021
529,44.94056006,7.9958935
530,44.94109964,8.05925862
531,44.94160407,8.12262548
532,44.94207335,8.18599394
533,44.94250747,8.2493639
534,44.94290642,8.31273523
535,44.94327022,8.37610783
536,44.94359885,8.43948157
537,44.94389231,8.50285634
538,44.94415061,8.56623203
539,44.94437374,8.62960851
540,44.9445617,8.69298567
541,44.94471449,8.7563634
542,44.94483211,8.81974157
543,44.94491456,8.88312007
544,44.94496184,8.94649879
545,44.94497394,9.00987761
546,44.96736617,6.72735767
547,44.96860997,6.79071327
548,44.96981865,6.85407292
549,44.97099221,6.91743651
550,44.97213063,6.98080393
551,44.97323391,7.04417506
552,44.97430204,7.10754978
553,44.97533502,7.17092798
554,44.97633285,7.23430954
555,44.97729552,7.29769434
556,44.97822302,7.36108227
557,44.97911536,7.42447322
558,44.97997252,7.48786706
559,44.9807945,7.55126368
560,44.9815813,7.61466297
561,44.98233291,7.6780648
562,44.98304933,7.74146906
563,44.98373056,7.80487564
564,44.9843766,7.86828442
565,44.98498743,7.93169528
566,44.98556306,7.9951081
567,44.98610349,8.05852277
568,44.9866087,8.12193917
569,44.98707871,8.18535719
570,44.98751351,8.24877671
571,44.98791308,8.3121976
572,44.98827745,8.37561977
573,44.98860659,8.43904308
574,44.98890051,8.50246742
575,44.98915922,8.56589268
576,44.98938269,8.62931874
577,44.98957095,8.69274548
578,44.98972398,8.75617279
